Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,P. Mahomes QB - KC ,18.02,L. Fournette RB - JAX ,6.40,N. Chubb RB - CLE ,10.00,J. Landry WR - CLE ,4.70,S. Diggs WR - MIN ,11.80,T. Kelce TE - KC ,6.10,T. Coleman RB - ATL ,20.50,H. Butker K - KC ,4.00,Rams DEF ,1.00,D. Leonard LB - IND ,12.00,D. Martin RB - LV ,3.90,O. Beckham WR - NYG ,0.00,C. Brate TE - TB ,0.90,T. Cohen RB - CHI ,9.50,L. Jackson QB - BAL ,16.74,J. Samuels RB - PIT ,17.20,-,-,94.52,Jackson ,100.46
Liam WHYTE,9,C. Newton QB - CAR ,4.74,L. McCoy RB - BUF ,0.00,D. Cook RB - MIN ,28.30,A. Jeffery WR - PHI ,16.00,T. Hill WR - KC ,6.10,R. Gronkowski TE - NE ,2.60,S. Ware RB - KC ,0.00,M. Crosby K - GB ,9.00,Bills DEF ,4.00,K. Alonso LB - MIA ,3.00,J. Conner RB - PIT ,0.00,M. Mack RB - IND ,24.90,M. Breida RB - SF ,9.60,Ravens DEF ,7.00,-,-,-,-,-,-,73.74,-,-
Adam,8,K. Cousins QB - MIN ,15.30,J. Jackson RB - LAC ,14.50,S. Michel RB - NE ,5.90,A. Brown WR - PIT ,11.90,M. Thomas WR - NO ,4.90,D. Njoku TE - CLE ,3.00,K. Dixon RB - BAL ,5.00,W. Lutz K - NO ,6.00,Texans DEF ,5.00,L. Vander Esch LB - DAL ,7.50,M. Ingram RB - NO ,7.40,M. Gordon RB - LAC ,0.00,A. Hooper TE - ATL ,0.00,E. McGuire RB - NYJ ,11.10,D. Moore WR - CAR ,1.40,Vikings DEF ,13.00,-,-,79.00,Steven,84.92
Steven,5,P. Rivers QB - LAC ,18.52,E. Elliott RB - DAL ,14.80,J. Howard RB - CHI ,13.50,D. Thomas WR - HOU ,5.90,K. Allen WR - LAC ,0.00,E. Ebron TE - IND ,0.80,K. Drake RB - MIA ,3.40,J. Tucker K - BAL ,8.00,Broncos DEF ,7.00,L. Kuechly LB - CAR ,13.00,J. Cook TE - LV ,2.30,F. Gore RB - MIA ,1.40,R. Wilson QB - SEA ,20.98,K. Johnson RB - DET ,0.00,J. Elliott K - PHI ,14.00,Steelers DEF ,7.00,-,-,84.92,Adam,79.00
Oliver,3,M. Trubisky QB - CHI ,19.00,P. Lindsay RB - DEN ,4.40,--empty--,-,A. Thielen WR - MIN ,1.90,T. Lockett WR - SEA ,5.60,G. Kittle TE - SF ,5.10,D. Henry RB - TEN ,29.24,S. Gostkowski K - NE ,4.00,Chiefs DEF ,8.00,T. Smith LB - JAX ,7.00,K. Juszczyk RB - SF ,0.30,J. Winston QB - TB ,4.28,A. Humphries WR - TB ,2.30,A. Kamara RB - NO ,16.30,K. Golladay WR - DET ,14.60,D. Pettis WR - SF ,8.30,G. Edwards RB - BAL ,17.40,84.24,Kevin,73.70
Aaron,7,A. Luck QB - IND ,11.68,T. Gurley RB - LA ,24.40,C. McCaffrey RB - CAR ,18.00,M. Evans WR - TB ,13.10,B. Cooks WR - LA ,5.90,K. Rudolph TE - MIN ,2.30,A. Cooper WR - DAL ,4.30,R. Succop K - TEN ,5.00,Redskins DEF ,14.00,D. Trevathan LB - CHI ,3.50,T. Brady QB - NE ,13.16,J. Brown WR - BAL ,0.90,N. Agholor WR - PHI ,0.80,A. Ekeler RB - LAC ,0.00,R. Freeman RB - DEN ,0.80,C. Herndon TE - NYJ ,5.30,-,-,102.18,Todd,128.82
Kevin,10,J. Goff QB - LA ,12.66,L. Miller RB - HOU ,0.80,J. White RB - NE ,3.70,J. Edelman WR - NE ,9.50,J. Smith-Schuster WR - PIT ,5.00,V. McDonald TE - PIT ,7.30,D. Baldwin WR - SEA ,19.70,C. Parkey K - CHI ,6.00,Chargers DEF ,1.00,D. James DB - LAC ,4.50,A. Green WR - CIN ,0.00,A. Rodgers QB - GB ,13.46,A. Collins RB - BAL ,0.00,W. Smallwood RB - PHI ,17.70,D. Foreman RB - HOU ,0.00,R. Penny RB - SEA ,0.00,-,-,70.16,-,-
Todd,6,D. Brees QB - NO ,5.92,J. Mixon RB - CIN ,25.00,J. Wilson RB - SF ,3.60,A. Robinson WR - CHI ,5.40,T. Boyd WR - CIN ,10.80,T. Burton TE - CHI ,9.60,D. Hopkins WR - HOU ,29.00,K. Fairbairn K - HOU ,19.00,Jaguars DEF ,10.00,R. Smith LB - CHI ,10.50,E. Sanders WR - DEN ,0.00,I. Crowell RB - NYJ ,0.00,D. Williams RB - KC ,24.30,T. Williams WR - LAC ,10.10,K. Hunt RB ,0.00,Packers DEF ,3.00,-,-,128.82,Aaron,102.18
Jackson ,1,D. Watson QB - HOU ,22.36,L. Blount RB - DET ,0.90,D. Johnson RB - ARI ,16.10,J. Jones WR - ATL ,14.20,D. Adams WR - GB ,13.90,E. Engram TE - NYG ,7.50,C. Godwin WR - TB ,0.00,G. Zuerlein K - LA ,11.00,Bears DEF ,8.00,B. Wagner LB - SEA ,6.50,J. Graham TE - GB ,3.20,G. Tate WR - PHI ,4.30,D. Lewis RB - TEN ,4.40,D. Freeman RB - ATL ,0.00,P. Barber RB - TB ,14.90,J. Adams RB - PHI ,8.80,-,-,100.46,Liam,94.52
Kevin,2,B. Roethlisberger QB - PIT ,13.10,A. Jones RB - GB ,0.80,S. Barkley RB - NYG ,5.60,J. Gordon WR - NE ,1.90,R. Woods WR - LA ,10.30,Z. Ertz TE - PHI ,2.20,C. Carson RB - SEA ,20.80,M. Badgley K - LAC ,3.50,Lions DEF ,2.00,D. Jones LB - ATL ,13.50,M. Ryan QB - ATL ,25.04,A. Peterson RB - WAS ,7.10,T. Hilton WR - IND ,8.50,S. Shepard WR - NYG ,3.70,C. Davis WR - TEN ,3.30,T. Edmunds LB - BUF ,6.50,-,-,73.70,Oliver,84.24
