Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,T. Tagovailoa QB - MIA Q ,5.50,D. Montgomery RB - DET ,13.00,J. Gibbs RB - DET ,10.60,M. Evans WR - TB ,4.20,D. Metcalf WR - PIT ,18.90,K. Pitts TE - ATL ,2.00,Z. Charbonnet RB - SEA ,12.90,J. Moody K - SF ,5.00,Jets DEF ,9.00,E. Jones LB - SEA Q ,8.50,R. Mostert RB - LV ,0.00,D. Schultz TE - HOU ,2.10,A. Brown WR - PHI ,0.00,J. Warren RB - PIT ,8.10,R. Rice WR - KC Q ,13.50,B. Bowers TE - LV ,9.80,-,-,-,-,-,-,89.60,Jackson ,112.68
Liam WHYTE,6,K. Murray QB - ARI ,28.54,E. Elliott RB - LAC ,3.70,J. Cook RB - BUF ,27.50,J. Jefferson WR - MIN ,19.30,G. Wilson WR - NYJ ,6.20,M. Andrews TE - BAL ,5.10,C. Kupp WR - SEA ,3.70,J. Elliott K - PHI ,7.00,Eagles DEF ,1.00,T. Edwards LB - CHI ,7.50,A. Rodgers QB - NYJ ,15.14,A. Ekeler RB - WAS ,8.50,J. Williams RB - DAL ,6.50,T. Lawrence QB - JAX Q ,13.30,J. Williams WR - DET ,10.40,K. Coleman WR - BUF ,0.00,-,-,-,-,-,-,109.54,Aaron,109.84
Adam,8,J. Goff QB - DET ,8.78,G. Edwards RB - LAC ,5.90,B. Hall RB - NYJ ,17.40,D. Samuel WR - WAS ,10.00,C. Olave WR - NO Q ,9.80,S. LaPorta TE - DET ,1.30,D. Moore WR - CHI ,6.30,J. Tucker K - BAL ,11.00,Bills DEF ,18.00,T. Bernard LB - BUF ,2.00,C. Kirk WR - HOU Q ,-0.10,A. Lazard WR - NYJ ,1.10,J. Burrow QB - CIN ,19.22,P. Freiermuth TE - PIT ,3.90,Z. White RB - LV ,3.80,J. McLaughlin RB - DEN ,1.60,-,-,-,-,-,-,90.48,Kevin,80.04
Steven,3,C. Stroud QB - HOU ,14.30,D. Henry RB - BAL ,15.60,A. Kamara RB - NO Q ,42.00,J. Chase WR - CIN ,3.50,J. Waddle WR - MIA ,4.50,T. Kelce TE - KC ,0.60,K. Allen WR - CHI ,0.00,B. Aubrey K - DAL Q ,15.00,Dolphins DEF ,0.00,Z. Franklin LB - IND ,9.50,D. Hopkins WR - BAL ,0.90,C. Ridley WR - TEN ,20.70,C. Sutton WR - DEN ,2.60,J. Jeudy WR - CLE ,7.30,J. Wright RB - MIA ,0.40,Browns DEF ,10.00,-,-,-,-,-,-,105.00,Todd,77.06
Oliver,2,A. Richardson QB - IND Q ,13.86,J. Jacobs RB - GB ,13.10,D. Achane RB - MIA ,22.50,C. Lamb WR - DAL ,16.00,M. Nabers WR - NYG ,18.70,C. Parkinson TE - LAR ,1.20,J. Mason RB - MIN Q ,18.40,G. Zuerlein K - NYJ Q ,6.00,Chargers DEF ,11.00,R. Blankenship DB - PHI ,9.50,T. Lockett WR - TEN ,1.50,N. Chubb RB - CLE Q ,0.00,D. Singletary RB - NYG ,13.50,T. Higgins WR - CIN ,0.00,K. Walker RB - SEA Q ,0.00,L. McConkey WR - LAC ,2.60,-,-,-,-,-,-,130.26,Kevin,65.10
Aaron,5,M. Stafford QB - LAR ,6.64,J. Conner RB - ARI Q ,18.40,T. Etienne RB - JAX ,11.80,D. Smith WR - PHI ,13.60,M. Harrison WR - ARI ,25.00,T. Hill TE - NO Q ,1.90,R. Stevenson RB - NE ,15.00,H. Butker K - KC ,10.00,Cowboys DEF ,-1.00,R. Smith LB - BAL ,8.50,A. Cooper WR - BUF ,1.10,C. McCaffrey RB - SF ,0.00,Z. Moss RB - CIN Q ,4.70,J. Love QB - GB ,0.00,J. Ferguson TE - DAL ,0.00,C. Watson WR - GB Q ,0.00,-,-,-,-,-,-,109.84,Liam WHYTE,109.54
Kevin,9,P. Mahomes QB - KC ,12.94,D. Swift RB - CHI ,4.20,I. Pacheco RB - KC ,11.10,T. Hill WR - MIA Q ,3.60,X. Worthy WR - KC ,3.20,G. Kittle TE - SF ,13.60,G. Pickens WR - DAL ,2.90,C. Dicker K - LAC ,8.00,Chiefs DEF ,11.00,A. Singleton LB - DEN Q ,9.50,D. Prescott QB - DAL Q ,13.42,C. Samuel WR - BUF ,0.30,D. Johnson WR - CLE ,2.50,M. Pittman WR - IND ,3.10,I. Likely TE - BAL ,2.60,C. Brown RB - CIN Q ,3.10,-,-,-,-,-,-,80.04,Adam,90.48
Todd,7,J. Allen QB - BUF ,11.76,N. Harris RB - LAC ,7.40,R. White RB - TB ,2.30,B. Aiyuk WR - SF Q ,4.30,A. St. Brown WR - DET ,12.90,C. Kmet TE - CHI ,2.70,K. Williams RB - LAR ,11.20,Y. Koo K - ATL Q ,10.00,Ravens DEF ,7.00,F. Oluokun LB - JAX ,7.50,C. Godwin WR - TB Q ,18.70,A. Jones RB - MIN ,4.80,T. Hockenson TE - MIN ,0.00,T. McLaurin WR - WAS ,2.20,Z. Flowers WR - BAL Q ,15.10,J. Daniels QB - WAS ,13.44,-,-,-,-,-,-,77.06,Steven,105.00
Jackson ,1,L. Jackson QB - BAL ,16.38,S. Barkley RB - PHI ,13.60,J. Taylor RB - IND ,13.50,N. Collins WR - HOU ,19.50,D. London WR - ATL ,11.40,D. Goedert TE - PHI ,3.80,J. Mixon RB - HOU ,5.00,K. Fairbairn K - HOU ,19.00,49ers DEF ,8.00,C. Mosley LB - NYJ Q ,2.50,E. Engram TE - DEN Q ,0.00,T. Pollard RB - TEN ,10.20,K. Shakir WR - BUF ,5.60,J. Ford RB - CLE ,6.40,B. Purdy QB - SF ,14.96,T. Dell WR - HOU Q ,1.30,-,-,-,-,-,-,112.68,Liam,89.60
Kevin,10,--empty--,-,J. Brooks RB - CAR PUP ,0.00,T. Benson RB - ARI Q ,1.70,D. Adams WR - LAR ,17.00,A. Pierce WR - IND ,12.60,T. McBride TE - ARI ,14.70,J. Dobbins RB - LAC ,19.10,--empty--,-,--empty--,-,--empty--,-,S. Diggs WR - NE Q ,3.70,A. Mattison RB - MIA ,6.10,J. Hurts QB - PHI ,23.82,C. Hubbard RB - CAR ,7.60,B. Robinson RB - WAS ,13.60,B. Robinson RB - ATL ,14.20,J. Reed WR - GB Q ,4.60,P. Nacua WR - LAR ,0.00,R. Odunze WR - CHI ,4.30,65.10,Oliver,130.26
