Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,D. Watson QB - CLE Q ,16.44,D. Montgomery RB - DET ,18.20,J. Gibbs RB - DET ,16.30,M. Evans WR - TB ,2.70,R. Rice WR - KC Q ,17.10,K. Pitts TE - ATL ,5.90,Z. Charbonnet RB - SEA ,24.20,J. Moody K - SF ,6.00,Jets DEF ,16.00,E. Jones LB - SEA Q ,11.00,R. Mostert RB - LV ,0.00,D. Schultz TE - HOU ,1.10,A. Brown WR - PHI ,0.00,D. Metcalf WR - PIT ,16.40,J. Warren RB - PIT ,0.10,B. Bowers TE - LV ,4.10,-,-,-,-,133.84,Oliver,55.98
Liam WHYTE,8,K. Murray QB - ARI ,14.78,C. Akers RB - MIN ,9.40,J. Cook RB - BUF ,14.70,J. Jefferson WR - MIN ,14.10,G. Wilson WR - NYJ ,9.30,M. Andrews TE - BAL ,0.00,J. Williams WR - DET ,0.20,J. Elliott K - PHI ,1.00,Raiders DEF ,-2.00,T. Edwards LB - CHI ,1.50,A. Rodgers QB - NYJ ,21.04,E. Elliott RB - LAC ,1.20,C. Kupp WR - SEA ,0.00,A. Ekeler RB - WAS ,11.70,J. Williams RB - DAL ,2.10,K. Coleman WR - BUF ,8.40,-,-,-,-,62.98,Todd,125.32
Adam,6,J. Burrow QB - CIN ,25.36,Z. White RB - LV ,3.40,B. Hall RB - NYJ ,14.30,C. Kirk WR - HOU Q ,7.90,C. Olave WR - NO Q ,15.60,S. LaPorta TE - DET ,3.60,D. Moore WR - CHI ,7.20,J. Tucker K - BAL ,4.00,Bills DEF ,13.00,F. Warner LB - SF ,3.50,J. Goff QB - DET ,14.56,A. Lazard WR - NYJ ,10.80,G. Edwards RB - LAC ,0.90,D. Samuel WR - WAS ,0.00,P. Freiermuth TE - PIT ,3.30,J. McLaughlin RB - DEN ,7.40,-,-,-,-,97.86,Kevin,46.04
Steven,3,C. Stroud QB - HOU ,9.80,D. Henry RB - BAL ,29.40,A. Kamara RB - NO Q ,12.70,J. Chase WR - CIN ,23.80,J. Waddle WR - MIA ,2.60,T. Kelce TE - KC ,3.00,C. Ridley WR - TEN ,1.90,B. Aubrey K - DAL Q ,11.00,Browns DEF ,6.00,Z. Franklin LB - IND ,9.50,K. Allen WR - CHI ,0.00,D. Hopkins WR - BAL ,13.30,C. Sutton WR - DEN ,6.80,J. Jeudy WR - CLE ,4.70,J. Wright RB - MIA ,1.70,Dolphins DEF ,7.00,-,-,-,-,109.70,Kevin,53.98
Oliver,5,A. Richardson QB - IND Q ,5.08,J. Mason RB - MIN Q ,8.80,D. Achane RB - MIA ,5.80,T. Higgins WR - CIN ,3.90,C. Lamb WR - DAL ,4.70,H. Henry TE - NE Q ,0.90,J. Jacobs RB - GB ,4.80,B. Grupe K - NO ,6.00,Chargers DEF ,5.00,Z. Baun LB - PHI ,11.00,D. Carr QB - NO Q ,7.98,N. Chubb RB - CLE Q ,0.00,D. Singletary RB - NYG ,14.80,K. Walker RB - SEA Q ,0.00,M. Nabers WR - NYG ,20.20,L. McConkey WR - LAC ,4.40,-,-,-,-,55.98,Liam,133.84
Aaron,7,B. Mayfield QB - TB ,8.52,J. Conner RB - ARI Q ,2.50,T. Etienne RB - JAX ,8.50,D. Smith WR - PHI ,7.90,M. Harrison WR - ARI ,12.40,T. Hill TE - NO Q ,0.00,R. Stevenson RB - NE ,0.30,H. Butker K - KC ,12.00,Cowboys DEF ,-1.00,R. Smith LB - BAL ,10.00,A. Cooper WR - BUF ,20.60,C. McCaffrey RB - SF ,0.00,Z. Moss RB - CIN Q ,15.70,J. Love QB - GB ,0.00,J. Ferguson TE - DAL ,9.50,C. Watson WR - GB Q ,6.70,-,-,-,-,61.12,Jackson ,141.88
Kevin,9,P. Mahomes QB - KC ,16.38,T. Pollard RB - TEN ,2.90,D. Swift RB - CHI ,4.20,T. Hill WR - MIA Q ,4.00,G. Pickens WR - DAL ,5.70,I. Likely TE - BAL ,0.40,C. Steele RB - KC ,7.40,C. McLaughlin K - TB ,1.00,Chiefs DEF ,5.00,A. Singleton LB - DEN Q ,7.00,D. Prescott QB - DAL Q ,31.86,J. Williams RB - NO ,-0.10,G. Kittle TE - SF ,0.00,M. Pittman WR - IND ,4.60,C. Brown RB - CIN Q ,6.90,X. Worthy WR - KC ,3.00,-,-,-,-,53.98,Steven,109.70
Todd,4,J. Allen QB - BUF ,30.92,N. Harris RB - LAC ,8.60,K. Williams RB - LAR ,29.60,B. Aiyuk WR - SF Q ,4.80,A. St. Brown WR - DET ,14.50,D. Kincaid TE - BUF ,10.10,C. Godwin WR - TB Q ,11.30,Y. Koo K - ATL Q ,7.00,Ravens DEF ,5.00,F. Oluokun LB - JAX ,3.50,A. Jones RB - MIN ,20.80,T. Hockenson TE - MIN ,0.00,T. McLaurin WR - WAS ,16.00,R. White RB - TB ,4.00,Z. Flowers WR - BAL Q ,2.30,J. Daniels QB - WAS ,28.06,-,-,-,-,125.32,Liam WHYTE,62.98
Jackson ,1,L. Jackson QB - BAL ,25.98,S. Barkley RB - PHI ,29.60,J. Taylor RB - IND ,25.50,N. Collins WR - HOU ,9.10,D. London WR - ATL ,12.70,D. Goedert TE - PHI ,18.00,J. Ford RB - CLE ,7.00,K. Fairbairn K - HOU ,1.00,49ers DEF ,3.00,B. Branch DB - DET ,10.00,K. Hunt RB - KC ,0.00,J. Mixon RB - HOU ,0.00,I. Pacheco RB - KC ,0.00,B. Purdy QB - SF ,25.78,T. Dell WR - HOU Q ,7.20,J. Smith-Njigba WR - SEA ,3.90,-,-,-,-,141.88,Aaron,61.12
Kevin,10,J. Hurts QB - PHI ,11.94,J. Dobbins RB - LAC ,5.40,B. Robinson RB - ATL ,13.20,D. Adams WR - LAR ,5.00,R. Shaheed WR - NO Q ,0.00,T. McBride TE - ARI ,2.50,--empty--,-,--empty--,-,Buccaneers DEF ,2.00,K. Elliss LB - ATL ,6.00,S. Diggs WR - NE Q ,9.92,B. Robinson RB - WAS ,9.70,J. Reed WR - GB Q ,6.90,P. Nacua WR - LAR ,0.00,Q. Johnston WR - LAC ,10.40,J. Brooks RB - CAR PUP ,0.00,B. Allen RB - NYJ ,6.80,E. McPherson K - CIN Q ,9.00,46.04,Adam,97.86
